,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post
720,864691135155894884,864691135394869237,9708,2145,8440,0.31939012113743465,L2/3,L5
721,864691135782702387,864691135394869237,16940,497,8440,-0.15521368951455053,L2/3,L5
729,864691135155894884,864691135738324081,29224,2145,4889,0.04029360164961552,L2/3,L5
730,864691134941194851,864691135738324081,13248,8762,4889,0.07146088756293954,L2/3,L5
731,864691135716190490,864691135738324081,8716,8051,4889,0.2981734372870742,L2/3,L5
732,864691135491205735,864691135738324081,14960,4507,4889,0.06913709980494068,L2/3,L5
734,864691135155894884,864691135105143629,19652,2145,6080,0.10597860329730385,L2/3,L5
736,864691135275253989,864691135105143629,32428,3189,6080,0.23235606361691627,L2/3,L5
737,864691136101005173,864691135105143629,22196,3121,6080,-0.09411759639820512,L2/3,L5
739,864691135100604448,864691135105143629,31488,11258,6080,-0.08789295677213065,L2/3,L5
740,864691135701034107,864691135105143629,26372,410,6080,0.017730411794320985,L2/3,L5
741,864691135610121991,864691135105143629,3680,11492,6080,0.0571102382490227,L2/3,L5
743,864691136595685282,864691135105143629,30768,231,6080,0.03590504739465106,L2/3,L5
745,864691136040443134,864691135105143629,220,234,6080,0.042701117011363116,L2/3,L5
747,864691136602387409,864691135105143629,26164,11710,6080,0.10898728620562406,L2/3,L5
750,864691135988078595,864691135105143629,6796,7336,6080,0.021798148455228972,L2/3,L5
751,864691136066733720,864691135105143629,13452,25,6080,-0.06523938868184934,L2/3,L5
753,864691135294197260,864691135105143629,536,10797,6080,-0.0040986563874136775,L2/3,L5
755,864691135975539779,864691135105143629,10400,7986,6080,-0.017116484979109146,L2/3,L5
756,864691136210333628,864691135105143629,5664,6424,6080,-0.00546925749532981,L2/3,L5
757,864691135155894884,864691136011856035,4580,2145,6870,0.18254618095998146,L2/3,L5
759,864691135975539779,864691136011856035,3032,7986,6870,0.19585672062560797,L2/3,L5
761,864691135155894884,864691135511493328,37500,2145,1725,-0.06036372130684907,L2/3,L5
762,864691135155894884,864691135815480143,22852,2145,6904,0.020455740632903105,L2/3,L5
763,864691135155894884,864691135654964930,8760,2145,932,-0.017459651051558417,L2/3,L5
764,864691136812081779,864691135654964930,1592,7111,932,-0.18512546239735156,L2/3,L5
765,864691135716190490,864691135654964930,23812,8051,932,-0.10826072050925689,L2/3,L5
767,864691135445704338,864691135654964930,3412,4632,932,-0.0686723448259027,L2/3,L5
768,864691135155894884,864691136273725118,8016,2145,1655,0.07145669523831713,L2/3,L5
