,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post,distance
10285,864691135273490193,864691135851582919,2388,2594,3764,0.25013188829977084,L2/3,L5,141.84150433494418
10288,864691135066182980,864691135851582919,1268,4554,3764,0.20045972404203882,L2/3,L5,172.04510534159346
10290,864691136330042858,864691135851582919,2256,11222,3764,0.13088758867782127,L2/3,L5,256.36087376977014
10388,864691136926540362,864691135693475519,31564,3440,6045,0.17777462426741764,L2/3,L5,262.59115683510754
10429,864691135334986985,864691135065989700,17252,2084,2682,0.07960565069015449,L2/3,L5,307.70412801910874
10430,864691135359010904,864691135065989700,2796,483,2682,0.06248806948989398,L2/3,L5,623.7460816710595
10432,864691135468597132,864691135701528699,14964,4055,6058,0.34672059109216247,L2/3,L5,394.83926021610364
10433,864691135473091634,864691135701528699,35424,11597,6058,-0.035949583025199836,L2/3,L5,351.1766618213688
10434,864691135565275479,864691135701528699,4316,1146,6058,0.18322235527961356,L2/3,L5,372.72749200454746
10435,864691135396980769,864691135701528699,720,429,6058,-0.010913079917691183,L2/3,L5,310.494626813412
10437,864691136004983754,864691135701528699,7540,1128,6058,0.006476791421943089,L2/3,L5,662.7738690322665
10753,864691135614771147,864691135697223834,3896,4673,7684,0.0024080313129072662,L2/3,L5,163.37889175777875
10759,864691135954499336,864691136329764074,10452,1119,3787,0.06351868826752112,L2/3,L5,257.7400881197956
10762,864691135100604448,864691136329764074,1752,11258,3787,0.09084601514369474,L2/3,L5,250.54762076699112
10764,864691136287598787,864691136329764074,452,2501,3787,-0.02263006132191989,L2/3,L5,143.79884817341207
10765,864691135397503777,864691136329764074,6664,5154,3787,-0.028641999131168362,L2/3,L5,309.0126393272612
10767,864691135429763120,864691136329764074,16120,88,3787,-0.09073750711073014,L2/3,L5,622.3470834060363
10769,864691135488888378,864691136329764074,1580,3038,3787,-0.017688916265455074,L2/3,L5,283.95310767801084
10770,864691135953985800,864691136329764074,3944,333,3787,0.14985143915588517,L2/3,L5,272.9568979894079
