,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post,distance
2698,864691135692949951,864691135323869852,38984,7295,6079,0.4174563009961574,L3b,L5ET,511.50620688316195
2699,864691135684657079,864691135323869852,9288,8179,6079,0.31748843311282,L3b,L5ET,446.9098235662314
2701,864691135763046710,864691136602471889,16100,7796,2861,0.06451489985616778,L5ET,L6CT,106.2719906654618
2704,864691135584074360,864691135919239856,9312,6027,8430,0.03478821368587297,L5NP,L5ET,246.06379192396426
2705,864691135726100543,864691135919239856,37392,4787,8430,0.1367018083757723,L5a,L5ET,262.40827999131426
2707,864691135565147159,864691135919239856,23504,1740,8430,0.22724857636955326,L5a,L5ET,255.34355836793685
2708,864691135940847270,864691135919239856,42188,8212,8430,0.42295569520547344,L3c,L5ET,383.57426007489084
2710,864691135584074360,864691135394897909,9172,6027,931,-0.042974231961014686,L5NP,L5ET,280.70486274377225
2714,864691135975539779,864691135545440808,9920,7986,9449,-0.06039121742191309,L3b,L5ET,515.2628672823222
2726,864691136602371025,864691136110004664,11148,7294,7759,-0.1734346595217929,L3b,L5ET,554.6118890900194
2727,864691135697223834,864691136110004664,13140,7684,7759,0.07341837043938765,L5b,L5ET,174.664172765911
2728,864691135851839687,864691136110004664,34240,5888,7759,0.0906050154957423,L4c,L5ET,230.28940956978465
2731,864691135292991414,864691135858686568,8340,4056,852,0.17603828697899446,L2a,L5ET,436.35139050998794
2732,864691136118618136,864691135858686568,13744,8177,852,0.16832013086187034,L3c,L5ET,433.71984557776466
2734,864691135279318689,864691135858686568,14472,10981,852,0.009668574026481021,L3b,L5ET,548.8521249298393
2736,864691135584074360,864691135693751231,12268,6027,8441,-0.017658052285080515,L5NP,L5ET,177.0875274659399
2737,864691135759091534,864691135693751231,13116,329,8441,0.21709963671465438,L3c,L5ET,451.4222524953771
2740,864691136118618136,864691135693751231,13444,8177,8441,0.33968501301560095,L3c,L5ET,464.78536025137447
2741,864691135692949951,864691135693751231,54340,7295,8441,0.1275227753984527,L3b,L5ET,542.4602888617746
2743,864691136118618392,864691136904294834,21284,3082,5043,0.1463825320052775,L2a,L5a,638.8177124156781
2746,864691136100511093,864691135718955569,34720,6148,9498,0.07711127986078706,L2a,L5ET,410.95846758522936
2756,864691136124381734,864691135441429320,8596,6028,1881,0.272135983823308,L5ET,L6CT,191.6515212566808
2758,864691135584074360,864691136329481962,16352,6027,874,0.07117808408245375,L5NP,L5ET,213.43449363212122
2759,864691135726100543,864691136329481962,43936,4787,874,0.15557998420239977,L5a,L5ET,163.17454938807086
2760,864691136136778621,864691136329481962,31408,1007,874,0.37911750629037044,L3a,L5ET,714.1082954286416
2761,864691135383993579,864691136329481962,41980,10283,874,0.23902627410616745,L4a,L5ET,228.8940136919268
2764,864691135866737541,864691136329481962,15180,7824,874,0.03348377586768651,L5ET,L5ET,132.6771540243459
2767,864691135367058169,864691136040489214,8412,1658,3891,0.05961027981987362,L4c,L6CT,201.68147956617142
2770,864691136101005173,864691135270600869,15624,3121,6038,0.3996265591837463,L2a,L5ET,411.52122550361844
2772,864691135066182980,864691135270600869,51432,4554,6038,0.04159607642448849,L3c,L5ET,284.9134533573309
2773,864691135123429927,864691135270600869,21580,9045,6038,-0.14624280138242787,L3c,L5ET,330.01456219991263
2774,864691136521831825,864691135270600869,11764,1576,6038,0.32355896443784327,L5b,L5ET,699.2414691592597
2778,864691136176327430,864691135270600869,30248,467,6038,0.37128031064290357,L3c,L5ET,765.5351405755323
2780,864691135304440487,864691135059524251,20916,1457,1709,0.0061001621703550704,L4a,L5ET,178.28155494049292
2782,864691135473146162,864691135059524251,13808,4438,1709,-0.005228211265214942,L4a,L5ET,183.7603232038952
2784,864691136066697624,864691135059524251,19684,8394,1709,-0.26341595432639825,L4b,L5ET,108.96854738868463
2787,864691136040443134,864691135059524251,32076,234,1709,0.16528552672258456,L3c,L5ET,230.34360254194166
2789,864691136066733720,864691135059524251,18028,25,1709,0.09029802187946347,L2a,L5ET,361.85387556857813
2790,864691136602949841,864691135059524251,12384,5812,1709,0.15332088423428844,L4a,L5ET,134.4843402036089
2793,864691136926540362,864691135059524251,9296,3440,1709,0.42137739314559375,L3c,L5ET,177.82502501054233
2794,864691135759685966,864691135059524251,8916,2759,1709,0.13905165101021674,L5a,L5ET,110.79734639421646
2798,864691135584074360,864691136024813113,11920,6027,7095,0.0983982103144887,L5NP,L5b,91.43236678550984
2799,864691136923990500,864691136024813113,9748,372,7095,-0.08016729345332929,L3c,L5b,335.3651137968885
2800,864691135615222475,864691136024813113,13888,4589,7095,0.24599580329938184,L4a,L5b,274.4727898790698
2804,864691135584074360,864691135947663457,11284,6027,3886,-0.019968439215733137,L5NP,L6a,42.46960927533948
2810,864691135584074360,864691134885743354,10288,6027,954,0.25219802483159515,L5NP,L5ET,196.7604207354721
2813,864691135857302830,864691134885743354,10120,1360,954,0.13518913922994194,L4b,L5ET,248.68437647749408
2814,864691135568970220,864691134885743354,13736,6242,954,0.10334957321776281,L2a,L5ET,425.2843400831966
2817,864691134918495498,864691135429097264,23972,5882,9482,0.10339856129960467,L4c,L5b,218.55532410810767
2818,864691135615222475,864691135429097264,21960,4589,9482,0.032121397370312235,L4a,L5b,324.987463142811
2819,864691135584074360,864691135754803149,13452,6027,3920,0.10145966491331561,L5NP,L6a,182.84436975745248
2823,864691135759684174,864691136024833593,15344,4786,883,0.19600992185752544,L4c,L5ET,182.21306649085292
2825,864691136813000051,864691136024833593,15132,11211,883,0.05262225547051893,L3c,L5ET,581.3121277661425
2829,864691135584074360,864691135700917883,12600,6027,891,-0.16335305710176112,L5NP,L5b,58.43666191698495
2833,864691135701034107,864691135565694743,19112,410,1724,0.013769867116874057,L3c,L5a,218.47084111157724
2834,864691135208943225,864691135565694743,11748,10140,1724,0.15030104225351923,L4b,L5a,139.53447356119565
2835,864691136066069400,864691135565694743,41532,1013,1724,0.22245589289688386,L3a,L5a,627.7071192714004
2840,864691135584074360,864691135859639144,18164,6027,1872,0.32793645026572155,L5NP,L6a,115.69497690046872
2843,864691135584074360,864691136812487795,27584,6027,1900,0.1677707868074194,L5NP,L6CT,189.66761342938858
2844,864691135122934055,864691136812487795,14144,8574,1900,0.11486240275377843,L3b,L6CT,400.12647600477516
2852,864691135940847270,864691135683816178,32144,8212,7004,0.31658916035529994,L3c,L5ET,462.9426861804817
2853,864691135584074360,864691135066009156,12584,6027,1856,0.1784646033110946,L5NP,L6CT,219.2913189344256
2855,864691135584074360,864691135490668903,8192,6027,1898,0.1653498636510672,L5NP,L6CT,119.87851023432013
2858,864691135615222475,864691135786465988,20268,4589,5000,0.03189655859154792,L4a,L6CT,274.67490788930826
2864,864691135082846711,864691135292823222,10340,4420,7814,-0.02374999525025201,L3c,L5ET,276.33787377049856
2865,864691134941194851,864691135292823222,22944,8762,7814,0.19307348551400297,L3b,L5ET,319.0826182166619
2866,864691136362747874,864691135292823222,21296,1352,7814,0.27233809578021045,L4a,L5ET,227.1518575754996
2870,864691135367058169,864691135279339169,21124,1658,1868,-0.051266424704637915,L4c,L6CT,190.3532366102557
2872,864691135755817170,864691135279339169,15508,9436,1868,0.04836496209894934,L5ET,L6CT,612.5130289944858
2873,864691135584074360,864691135610607367,9256,6027,3878,-0.053162574304893684,L5NP,L6CT,140.93748764611917
2874,864691136066697624,864691135610607367,13428,8394,3878,-0.23108981243487023,L4b,L6CT,202.29418577902823
2876,864691135946676260,864691135610607367,11424,12047,3878,0.0536424351499749,L3b,L6CT,725.1333139113111
2881,864691135701034107,864691136274761229,10704,410,1608,-0.004324668679145667,L3c,L5a,456.30633387670616
2882,864691135584074360,864691134885231866,11268,6027,3870,0.13570003286911503,L5NP,L6CT,178.5405530628826
2887,864691135857222958,864691135700506402,8656,10484,2873,0.10824783110459,L4a,L6CT,249.46112662296702
2890,864691135594514987,864691136724450045,9108,7506,864,0.15163354472106483,L4b,L5ET,231.00735738932644
2892,864691135866737541,864691136724450045,12076,7824,864,0.28280608850910677,L5ET,L5ET,126.67600448388006
2893,864691136309871706,864691136724450045,14704,2232,864,0.10001736689150141,L2a,L5ET,639.4321092969917
2894,864691135360730183,864691136724450045,12864,4193,864,0.06658475929436854,L2b,L5ET,408.27688056023936
2895,864691135584074360,864691135105075789,11220,6027,7031,0.0708405141901286,L5NP,L5ET,229.15775457095054
2896,864691135759091534,864691135105075789,24036,329,7031,0.09446440373025825,L3c,L5ET,605.0081709464757
2897,864691135816565839,864691135105075789,14232,447,7031,0.11904464567275365,L3b,L5ET,306.23678702598755
2898,864691136602371025,864691135105075789,19548,7294,7031,-0.063051727021799,L3b,L5ET,688.9232756120234
2900,864691135473091634,864691135105075789,48556,11597,7031,0.01620824311852286,L3b,L5ET,388.2584614609192
2904,864691135616964457,864691135105075789,25220,863,7031,0.3423926314470679,L5ET,L5ET,120.93845972229015
2915,864691135584074360,864691135472913970,20876,6027,925,-0.0438563740914869,L5NP,L5ET,342.63452538236726
2917,864691136084684396,864691135472913970,24628,437,925,0.36210586603419326,L3c,L5ET,478.2514693840468
2919,864691135614771147,864691135772777803,10112,4673,2858,0.03953086513651412,L3c,L6CT,321.6648381405715
2920,864691135697613077,864691135772777803,17176,919,2858,0.025147739143454074,L5ET,L6CT,573.2977784014168
2921,864691135584074360,864691135989560064,16188,6027,1903,0.12034963363454076,L5NP,L6CT,170.6219902357255
2923,864691135584074360,864691136273802174,12292,6027,3867,0.20533103755284138,L5NP,L5b,126.2555693821068
2925,864691135701561723,864691136195082728,12376,9730,5056,0.06249792621923246,L4a,L6CT,267.88011945644644
2926,864691135584074360,864691135502536629,14292,6027,7773,0.5310271466083826,L5NP,L6a,111.40142476647237
2932,864691135208943225,864691135013293558,8744,10140,6400,0.2337773364642834,L4b,L3c,125.0876285489496
2940,864691135661523184,864691135383993579,10016,5435,10283,0.19722215864098033,L3c,L4a,69.25530876402188
2942,864691135256861871,864691135383993579,8916,1677,10283,0.11587224586399546,L6a,L4a,130.36727564845395
2943,864691135946156836,864691135383993579,10228,884,10283,0.055814107935543554,L5ET,L4a,192.67252416470797
2945,864691135591291659,864691136953041887,10464,2557,9053,0.0645334383719552,L3c,L3c,96.05723127386094
2947,864691136419698583,864691136953041887,67544,1487,9053,0.12211493250584879,L4b,L3c,91.44164477960793
2948,864691136209328060,864691136953041887,15680,5517,9053,0.16383284938375312,L3c,L3c,74.41945896067773
2950,864691135754259661,864691136953041887,17940,12008,9053,0.2005888352783809,L3c,L3c,101.53260914602755
2953,864691135213650232,864691136953041887,9656,4054,9053,-0.08314317510076409,L2a,L3c,106.12812935315499
2957,864691135501703746,864691136953041887,19684,7957,9053,-0.00576682971831169,L3c,L3c,593.5227015978412
