,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post
11984,864691135777736032,864691135479112902,3000,10141,11337,0.2584761244232825,L4,L2/3
11989,864691135783492659,864691136100349045,12576,2529,7321,0.008119687470056765,L4,L2/3
11991,864691136195208424,864691136100349045,17448,4423,7321,-0.033719623896140596,L4,L2/3
11992,864691135783492659,864691135539187058,1632,2529,5605,0.05558427708907835,L4,L2/3
11998,864691135783492659,864691135586074236,2268,2529,5618,-0.07667423788915093,L4,L2/3
11999,864691135701561723,864691135586074236,2544,9730,5618,0.15963011144888148,L4,L2/3
12001,864691136362747874,864691135586074236,1528,1352,5618,0.18033831879487314,L4,L2/3
12003,864691135857302830,864691135586074236,2056,1360,5618,-0.057434035895708564,L4,L2/3
12005,864691135783492659,864691135874156430,1428,2529,7237,0.10375522907796952,L4,L2/3
12008,864691136275178765,864691135874156430,996,1351,7237,0.36125975557804774,L4,L2/3
12010,864691136066697624,864691135874156430,3188,8394,7237,0.18801317000762655,L4,L2/3
12015,864691136119541016,864691135874156430,3076,1460,7237,0.10555550710504795,L4,L2/3
12017,864691135156708964,864691135874156430,2660,9741,7237,0.09205536960232,L4,L2/3
12023,864691136663288030,864691135874156430,31176,9892,7237,-0.09659483082988327,L4,L2/3
12025,864691135969949285,864691135874156430,420,5677,7237,-0.01988031943776412,L4,L2/3
12046,864691135783492659,864691135701525115,2972,2529,3043,-0.07478607429981136,L4,L2/3
12048,864691135208943225,864691135701525115,1856,10140,3043,-0.19673628140708044,L4,L2/3
12050,864691135279377569,864691135701525115,23004,7562,3043,0.04493022563667766,L4,L2/3
12057,864691135783492659,864691135387710593,3592,2529,2389,0.34632178013323983,L4,L2/3
12058,864691135701561723,864691135387710593,16968,9730,2389,0.12919609101529075,L4,L2/3
12060,864691136362684386,864691135387710593,6424,10565,2389,0.022150758860285218,L4,L2/3
12063,864691135395187189,864691135387710593,4648,10491,2389,0.07716328469952606,L4,L2/3
12073,864691135783492659,864691135992618689,14736,2529,388,0.022136567273923408,L4,L2/3
12074,864691136228125521,864691135992618689,3724,8582,388,-0.006075275422573759,L4,L2/3
12075,864691135014167446,864691135992618689,11172,10481,388,0.08049434057570096,L4,L2/3
12076,864691136378815445,864691135992618689,11524,1389,388,-0.05514717738412942,L4,L2/3
12079,864691135609687047,864691135992618689,12224,3723,388,0.025120587542463563,L4,L2/3
